Player Name,Salary,Position,Age,Team,PTS,Total Minutes
Stephen Curry,48070014,PG,34,GSW,29.4,1941
John Wall,47345760,PG,32,LAC,11.4,755
Russell Westbrook,47080179,PG,34,LAL/LAC,15.9,2126
LeBron James,44474988,PF,38,LAL,28.9,1954
Kevin Durant,44119845,PF,34,BRK/PHO,29.1,1672
Bradley Beal,43279250,SG,29,WAS,23.2,1673
Kawhi Leonard,42492492,SF,31,LAC,23.8,1748
Paul George,42492492,SF,32,LAC,23.8,1939
Giannis Antetokounmpo,42492492,PF,28,MIL,31.1,2024
Damian Lillard,42492492,PG,32,POR,32.2,2107
Klay Thompson,40600080,SF,32,GSW,21.9,2279
Kyrie Irving,38917057,PG-SG,30,BRK/DAL,27.1,2241
Rudy Gobert,38172414,C,30,MIN,13.4,2148
Khris Middleton,37984276,SF,31,MIL,15.1,801
Anthony Davis,37980720,C,29,LAL,25.9,1904
Jimmy Butler,37653300,PF,33,MIA,22.9,2138
Tobias Harris,37633050,SF,30,PHI,14.7,2436
Kemba Walker,37281261,PG,32,DAL,8.0,144
Trae Young,37096500,PG,24,ATL,26.2,2541
Zach LaVine,37096500,SG,27,CHI,24.8,2768
Ben Simmons,35448672,PG,26,BRK,6.9,1105
Pascal Siakam,35448672,PF,28,TOR,24.2,2652
Myles Turner,35096500,C,26,IND,18.0,1825
Jrue Holiday,34319520,PG,32,MIL,19.3,2183
Karl-Anthony Towns,33833400,PF,27,MIN,20.8,957
Devin Booker,33833400,SG,26,PHO,27.8,1835
Andrew Wiggins,33616770,SF,27,GSW,17.1,1190
Joel Embiid,33616770,C,28,PHI,33.1,2284
CJ McCollum,33333333,SG,31,NOP,20.9,2649
James Harden,33000000,PG,33,PHI,21.0,2135
Jamal Murray,31650600,PG,25,DEN,20.0,2133
Brandon Ingram,31650600,SF,25,NOP,24.7,1538
D'Angelo Russell,31377750,PG,26,LAL/MIN,17.8,2304
Donovan Mitchell,30913750,SG,26,CLE,28.3,2432
Shai Gilgeous-Alexander,30913750,PG,24,OKC,31.4,2416
Deandre Ayton,30913750,C,24,PHO,18.0,2035
Kevin Love,30556968,PF,34,CLE/MIA,8.2,1240
Jayson Tatum,30351780,SF,24,BOS,30.1,2732
Bam Adebayo,30351780,C,25,MIA,20.4,2598
De'Aaron Fox,30351780,PG,25,SAC,25.0,2435
Gordon Hayward,30075000,SF,32,CHO,14.7,1577
Jaylen Brown,29776785,SF,26,BOS,26.6,2405
Chris Paul,28400000,PG,37,PHO,13.9,1889
Kyle Lowry,28333334,PG,36,MIA,11.2,1718
Jalen Brunson,27733332,PG,26,NYK,24.0,2379
DeMar DeRozan,27300000,SF,33,CHI,24.5,2682
Al Horford,26500000,C,36,BOS,9.8,1922
Draymond Green,25806468,PF,32,GSW,8.5,2297
Julius Randle,23760000,PF,28,NYK,25.1,2737
John Collins,23500000,PF,25,ATL,13.1,2130
Mike Conley,22680000,PG,35,MIN/UTA,11.9,2029
Malcolm Brogdon,22600000,PG,30,BOS,14.9,1744
Anfernee Simons,22321429,SG,23,POR,21.1,2171
Terry Rozier,21486316,SG,28,CHO,21.1,2221
Fred VanVleet,21250000,PG,28,TOR,19.3,2535
Buddy Hield,21177750,SF,30,IND,16.8,2482
Domantas Sabonis,21100000,C,26,SAC,19.1,2736
Jerami Grant,20955000,PF,28,POR,20.5,2246
Aaron Gordon,20690909,PF,27,DEN,16.3,2055
Mikal Bridges,20100000,SF-SG,26,BRK/PHO,20.1,2963
Jarrett Allen,20000000,C,24,CLE,14.3,2220
Nicolas Batum,19700319,PF,34,LAC,6.1,1709
Eric Gordon,19568360,SG,34,HOU/LAC,12.4,1965
Spencer Dinwiddie,19500000,SG-PG,29,BRK/DAL,17.3,2725
Caris LeVert,18796296,SG,28,CLE,12.1,2237
Joe Harris,18642857,SF,31,BRK,7.6,1527
Harrison Barnes,18352273,PF,30,SAC,15.0,2662
Clint Capela,18206896,C,28,ATL,12.0,1730
Evan Fournier,18000000,SG,30,NYK,6.1,459
Steven Adams,17926829,C,29,MEM,8.6,1133
Jonathan Isaac,17400000,PF,25,ORL,5.0,124
OG Anunoby,17357143,SF,25,TOR,16.8,2386
Marcus Smart,17207142,PG,28,BOS,11.5,1957
Derrick White,17142857,SG,28,BOS,12.4,2319
Dejounte Murray,17071120,SG,26,ATL,20.5,2693
Mitchell Robinson,17045454,C,24,NYK,7.4,1591
Duncan Robinson,16902000,SF,28,MIA,6.4,691
Norman Powell,16758621,SG,29,LAC,17.0,1567
Collin Sexton,16700000,PG,24,UTA,14.3,1145
Markelle Fultz,16500000,PG,24,ORL,14.0,1778
Lauri Markkanen,16475454,PF,25,UTA,25.6,2273
Marcus Morris,16372093,PF,33,LAC,11.2,1825
Malik Beasley,15558035,SG,26,LAL/UTA,12.7,2093
Luguentz Dort,15277778,SF,23,OKC,13.7,2272
Will Barton,15059712,SG,32,WAS/TOR,6.8,993
Tyus Jones,15000000,PG,26,MEM,10.3,1940
Derrick Rose,14520730,PG,34,NYK,5.6,338
Kevin Huerter,14508929,SG,24,SAC,15.2,2203
Christian Wood,14317459,C,27,DAL,16.6,1738
Kentavious Caldwell-Pope,14004703,SG,29,DEN,10.8,2381
Brook Lopez,13906976,C,34,MIL,15.9,2373
Patrick Beverley,13801614,SG-PG,34,LAL/CHI,6.2,1816
Doug McDermott,13750000,SF,31,SAS,10.2,1314
Luke Kennard,13745455,SG,26,LAC/MEM,9.3,1315
Zion Williamson,13534817,PF,22,NOP,26.0,956
Jordan Clarkson,13340000,SG,30,UTA,20.8,1988
Gary Harris,13000000,SG,28,ORL,8.3,1184
Kyle Kuzma,13000000,PF,27,WAS,21.2,2239
Josh Hart,12960000,SF,27,NYK/POR,9.8,2454
Dorian Finney-Smith,12939848,PF,29,BRK/DAL,8.3,2009
Kelly Olynyk,12804878,C,31,UTA,12.5,1942
Chris Boucher,12690000,PF,30,TOR,9.4,1523
Robert Covington,12307692,PF,32,LAC,6.0,779
Josh Richardson,12196094,SG,29,NOP/SAS,10.1,1530
Ja Morant,12119440,PG,23,MEM,26.2,1948
Danny Green,11710528,SG,35,CLE/MEM,5.5,138
Terrence Ross,11500000,SG,31,ORL/PHO,8.3,1330
Reggie Jackson,11457217,PG,32,DEN/LAC,10.2,1657
Dillon Brooks,11400000,SF,27,MEM,14.3,2214
Richaun Holmes,11215260,C,29,SAC,3.1,348
Dwight Powell,11080125,C,31,DAL,6.7,1458
Paolo Banchero,11055120,PF,20,ORL,20.0,2430
RJ Barrett,10900634,SG,22,NYK,19.6,2475
Bobby Portis,10843350,PF,27,MIL,14.1,1818
DeAndre Jordan,10733758,C,34,DEN,5.1,586
Anthony Edwards,10733400,SG,21,MIN,24.6,2842
Robert Williams,10714287,C,25,BOS,8.0,824
Cade Cunningham,10552800,PG,21,DET,19.9,400
Mo Bamba,10300000,C,24,LAL/ORL,6.6,769
Talen Horton-Tucker,10260000,SG,22,UTA,10.7,1313
Jae Crowder,10183800,PF,32,MIL,6.9,340
Ivica Zubac,10123457,C,25,LAC,10.8,2170
Reggie Bullock,10012800,SF,31,DAL,7.2,2364
Alec Burks,10012800,SG,31,DET,12.8,1122
De'Andre Hunter,9835881,SF,25,ATL,15.4,2126
James Wiseman,9603360,C,21,GSW/DET,10.0,867
Landry Shamet,9500000,SG,25,PHO,8.7,807
Malik Monk,9472219,SG,24,SAC,13.5,1719
Jalen Green,9441840,SG,20,HOU,22.1,2602
Jakob Poeltl,9398148,C,27,SAS/TOR,12.5,1906
Nerlens Noel,9391069,C,28,BRK/DET,2.1,195
Royce O'Neale,9200000,SF,29,BRK,8.8,2409
Monte Morris,9125000,PG,27,WAS,10.3,1695
Mason Plumlee,9080417,C,32,LAC/CHO,10.8,2054
Alex Caruso,9030000,PG,28,CHI,5.6,1575
Maxi Kleber,9000000,PF,31,DAL,5.9,930
Grayson Allen,8925000,SG,27,MIL,10.4,1972
Darius Garland,8920794,PG,23,CLE,21.6,2447
Isaiah Hartenstein,8854879,C,24,NYK,5.0,1626
Kyle Anderson,8780488,PF,29,MIN,9.4,1957
Victor Oladipo,8750000,SG,30,MIA,10.7,1106
Daniel Theis,8694369,C,30,IND,7.0,109
LaMelo Ball,8623920,PG,21,CHO,23.3,1268
Seth Curry,8496653,SG,32,BRK,9.2,1211
Evan Mobley,8478720,PF,21,CLE,16.2,2715
Gary Payton II,8300000,SG,30,GSW/POR,4.6,367
Dewayne Dedmon,8283688,C,33,PHI/MIA,5.2,426
De'Anthony Melton,8250000,SG,24,PHI,10.1,2150
JaMychal Green,8200000,PF,32,GSW,6.4,797
Keegan Murray,8008440,SF,22,SAC,12.2,2382
Kevon Looney,8000000,C,26,GSW,7.0,1958
Thaddeus Young,8000000,PF,34,TOR,4.4,795
Delon Wright,7804878,PG,30,WAS,7.4,1221
Patrick Williams,7775400,PF,21,CHI,10.2,2323
Scottie Barnes,7644600,SF,21,TOR,15.3,2678
Cedi Osman,7426088,SF,27,CLE,8.7,1548
Coby White,7413955,SG,22,CHI,9.7,1730
Zach Collins,7350000,C,25,SAS,11.6,1441
Jaden Ivey,7252200,SG,20,DET,16.3,2304
Taurean Prince,7100000,PF,28,MIN,9.1,1192
Jae'Sean Tate,7065217,SF,27,HOU,9.1,677
Isaac Okoro,7040880,SF,22,CLE,6.4,1652
Cody Martin,7000000,SF,27,CHO,5.0,134
Jalen Suggs,6922320,SG,21,ORL,9.9,1246
Jaxson Hayes,6803012,C,22,NOP,5.0,610
Khem Birch,6667500,C,30,TOR,2.2,162
Bennedict Mathurin,6586800,SG,20,IND,16.7,2222
Bruce Brown,6479000,SF,26,DEN,11.5,2280
Caleb Martin,6479000,SF,27,MIA,9.6,2077
Joe Ingles,6479000,SF,35,MIL,6.9,1044
Onyeka Okongwu,6395160,C,22,ATL,9.9,1849
Josh Giddey,6287400,PF,20,OKC,16.6,2367
Rui Hachimura,6263188,PF,24,LAL/WAS,11.2,1466
Rudy Gay,6184500,PF,36,UTA,5.2,816
Jevon Carter,6025000,PG,27,MIL,8.0,1810
Shaedon Sharpe,6012960,SG,19,POR,9.9,1779
Cameron Payne,6000000,PG,28,PHO,10.3,968
Justin Holiday,5987975,SF,33,DAL/ATL,4.5,706
Cam Reddish,5954454,SF,23,NYK/POR,9.7,990
Cameron Johnson,5887899,PF,26,BRK/PHO,15.5,1199
Ricky Rubio,5853659,PG,32,CLE,5.2,566
Killian Hayes,5837760,PG,21,DET,10.3,2154
Jonathan Kuminga,5739840,PF,20,GSW,9.9,1394
Pat Connaughton,5728393,SF,30,MIL,7.6,1443
Tyler Herro,5722116,SG,23,MIA,20.1,2337
Romeo Langford,5634257,SG,23,SAS,6.9,844
Dyson Daniels,5508600,PG,19,NOP,3.8,1042
JaVale McGee,5461219,C,35,DAL,4.4,355
Goga Bitadze,5377520,C,23,ORL/IND,4.4,457
Obi Toppin,5348280,PF,24,NYK,7.4,1050
Franz Wagner,5258280,SF,21,ORL,18.6,2609
Kendrick Nunn,5250000,SG,27,LAL/WAS,7.1,964
Hamidou Diallo,5200000,SF,24,DET,9.3,996
Cory Joseph,5155500,PG,31,DET,6.9,1227
Garrett Temple,5155500,SG,36,NOP,2.0,162
Torrey Craig,5121951,PF,32,PHO,7.4,1948
Jeremy Sochan,5063520,PF,19,SAS,11.0,1458
Nickeil Alexander-Walker,5009633,SG,24,MIN/UTA,6.2,884
Furkan Korkmaz,5000000,SG,25,PHI,3.8,353
Deni Avdija,4916160,SF,22,WAS,9.2,2020
Davion Mitchell,4833600,PG,24,SAC,5.6,1447
Johnny Davis,4810320,SG,20,WAS,5.8,423
Ty Jerome,4728948,SG,25,GSW,6.9,816
Jalen Smith,4670160,C,22,IND,9.4,1279
Ziaire Williams,4591680,SF,21,MEM,5.7,561
Ousmane Dieng,4569840,PF,19,OKC,4.9,569
Jeff Green,4500000,PF,36,DEN,7.8,1091
Donte DiVincenzo,4500000,SG,26,GSW,9.4,1894
Devin Vassell,4437000,SG,22,SAS,18.5,1178
Matisse Thybulle,4379526,SF-SG,25,PHI/POR,4.1,1200
Jarred Vanderbilt,4374000,PF,23,LAL/UTA,7.9,1879
James Bouknight,4362240,SG,22,CHO,5.6,515
Brandon Clarke,4343919,PF,26,MEM,10.0,1090
Jalen Williams,4341480,SG,21,OKC,14.1,2276
Grant Williams,4306281,PF,24,BOS,8.1,2045
Darius Bazley,4264628,C,22,OKC/PHO,5.2,616
Tyrese Haliburton,4215120,PG,22,IND,20.7,1883
Nassir Little,4171548,SF,22,POR,6.6,976
Jalen Duren,4124280,C,19,DET,9.1,1670
Gorgui Dieng,4105236,C,33,SAS,3.9,358
Justise Winslow,4097561,PF,26,POR,6.8,776
Dylan Windler,4037277,SF,26,CLE,1.7,10
Stanley Johnson,4022164,SF,26,SAS,5.8,469
George Hill,4000000,PG-SG,36,MIL/IND,5.0,834
Terence Davis,4000000,SG,25,SAC,6.7,841
Chris Duarte,3936960,SF,25,IND,7.9,897
Alex Len,3918600,C,29,SAC,1.7,161
Ochai Agbaji,3918360,SG,22,UTA,7.9,1209
Jordan Poole,3901399,PG,23,GSW,20.4,2458
Keldon Johnson,3873024,SF,23,SAS,22.0,2063
James Johnson,3841067,PF,35,IND,2.8,162
Aaron Nesmith,3804360,SF,23,IND,10.1,1816
Moses Moody,3740160,SG,20,GSW,4.8,817
Mark Williams,3722040,C,21,CHO,9.0,828
Cole Anthony,3613680,PG,22,ORL,13.0,1552
Corey Kispert,3552840,SF,23,WAS,11.1,2093
AJ Griffin,3536160,SF,19,ATL,8.9,1401
Mike Muscala,3500000,C,31,BOS/OKC,6.1,945
Georges Niang,3465000,PF,29,PHI,8.2,1512
Isaiah Stewart,3433320,C,21,DET,11.3,1414
Chuma Okeke,3433320,SF,24,ORL,4.7,518
Amir Coffey,3395062,SF,25,LAC,3.4,625
Tari Eason,3359160,PF,21,HOU,9.3,1767
Aleksej Pokusevski,3261480,PF,21,OKC,8.1,701
Simone Fontecchio,3205128,SF,27,UTA,6.3,766
Andre Drummond,3200000,C,29,CHI,6.0,849
Dalen Terry,3191400,SG,20,CHI,2.2,214
Sterling Brown,3122602,SF,27,LAL,0.0,24
Josh Green,3098400,SG,22,DAL,9.1,1539
Jake LaRavia,3047640,PF,21,MEM,3.0,414
Tre Mann,3046200,PG,21,OKC,7.7,1183
Kevin Knox,3000000,SF-PF,23,DET/POR,6.6,952
Saddiq Bey,2959080,SF,23,DET/ATL,13.8,2129
Malaki Branham,2925600,SG,19,SAS,10.2,1550
Joe Wieskamp,2909261,SF,23,TOR,1.0,50
Kai Jones,2909040,C,22,CHO,3.4,550
Blake Griffin,2905851,C,33,BOS,4.1,569
Robin Lopez,2905851,C,34,CLE,3.0,299
Markieff Morris,2905851,PF,33,BRK/DAL,3.8,355
Andre Iguodala,2905851,PF,39,GSW,2.1,113
Serge Ibaka,2905851,C,33,MIL,4.1,185
Udonis Haslem,2905851,C,42,MIA,3.9,71
Wesley Matthews,2905851,SF,36,MIL,3.4,820
Austin Rivers,2905851,SG,30,MIN,4.9,1016
Bismack Biyombo,2905851,C,30,PHO,4.3,874
Taj Gibson,2905851,C,37,WAS,3.4,480
Precious Achiuwa,2840160,C,23,TOR,9.2,1140
Christian Braun,2808600,SG,21,DEN,4.7,1181
Jordan Nwora,2800000,SF,24,MIL/IND,8.7,1188
Jalen Johnson,2792640,SF,21,ATL,5.6,1042
Tyrese Maxey,2726880,SG,22,PHI,20.3,2016
