Player Name,Salary,Position,Age,Team,PTS,Total Minutes,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,TOV,PER,Altura,Peso
Stephen Curry,48070014,PG,34,GSW,29.4,1941,34.7,0.493,0.427,0.915,6.1,6.3,0.9,0.4,3.2,3.2,24.1,"6'3""",185
LeBron James,44474988,PF,38,LAL,28.9,1954,35.5,0.5,0.321,0.768,8.3,6.8,0.9,0.6,3.2,3.2,23.9,"6'9""",250
Kevin Durant,44119845,PF,34,BRK/PHO,29.1,1672,35.6,0.56,0.404,0.919,6.7,5,0.7,1.4,3.3,3.3,25.9,"6'10""",229
Bradley Beal,43279250,SG,29,WAS,23.2,1673,33.5,0.506,0.365,0.842,3.9,5.4,0.9,0.7,2.9,2.9,19.7,"6'4""",207
Kawhi Leonard,42492492,SF,31,LAC,23.8,1748,33.6,0.512,0.416,0.871,6.5,3.9,1.4,0.5,1.7,1.7,23.9,"6'7""",225
Paul George,42492492,SF,32,LAC,23.8,1939,34.6,0.457,0.371,0.871,6.1,5.1,1.5,0.4,3.1,3.1,19.6,"6'8""",218
Giannis Antetokounmpo,42492492,PF,28,MIL,31.1,2024,32.1,0.553,0.275,0.645,11.8,5.7,0.8,0.8,3.9,3.9,29,"7'0""",243
Damian Lillard,42492492,PG,32,POR,32.2,2107,36.3,0.463,0.371,0.914,4.8,7.3,0.9,0.3,3.3,3.3,26.7,"6'2""",195
Kyrie Irving,38917057,PG-SG,30,BRK/DAL,27.1,2241,37.4,0.494,0.379,0.905,5.1,5.5,1.1,0.8,2.1,2.1,22.4,"6'2""",190
Rudy Gobert,38172414,C,30,MIN,13.4,2148,30.7,0.659,0,0.644,11.6,1.2,0.8,1.4,1.7,1.7,18.9,"7'1""",245
Khris Middleton,37984276,SF,31,MIL,15.1,801,24.3,0.436,0.315,0.902,4.2,4.9,0.7,0.2,2.2,2.2,17.4,"6'7""",222
Anthony Davis,37980720,C,29,LAL,25.9,1904,34,0.563,0.257,0.784,12.5,2.6,1.1,2,2.2,2.2,27.8,"6'10""",253
Jimmy Butler,37653300,PF,33,MIA,22.9,2138,33.4,0.539,0.35,0.85,5.9,5.3,1.8,0.3,1.6,1.6,27.6,"6'7""",229
Tobias Harris,37633050,SF,30,PHI,14.7,2436,32.9,0.501,0.389,0.876,5.7,2.5,0.9,0.5,1.2,1.2,14.8,"6'7""",236
Trae Young,37096500,PG,24,ATL,26.2,2541,34.8,0.429,0.335,0.886,3,10.2,1.1,0.1,4.1,4.1,22,"6'1""",164
Zach LaVine,37096500,SG,27,CHI,24.8,2768,35.9,0.485,0.375,0.848,4.5,4.2,0.9,0.2,2.5,2.5,19,"6'5""",200
Pascal Siakam,35448672,PF,28,TOR,24.2,2652,37.4,0.48,0.324,0.774,7.8,5.8,0.9,0.5,2.4,2.4,20.3,"6'8""",230
Myles Turner,35096500,C,26,IND,18,1825,29.4,0.548,0.373,0.783,7.5,1.4,0.6,2.3,1.7,1.7,20,"6'11""",250
Jrue Holiday,34319520,PG,32,MIL,19.3,2183,32.6,0.479,0.384,0.859,5.1,7.4,1.2,0.4,2.9,2.9,19.2,"6'5""",205
Karl-Anthony Towns,33833400,PF,27,MIN,20.8,957,33,0.495,0.366,0.874,8.1,4.8,0.7,0.6,3,3,18.8,"7'0""",248
Devin Booker,33833400,SG,26,PHO,27.8,1835,34.6,0.494,0.351,0.855,4.5,5.5,1,0.3,2.7,2.7,22,"6'5""",206
Joel Embiid,33616770,C,28,PHI,33.1,2284,34.6,0.548,0.33,0.857,10.2,4.2,1,1.7,3.4,3.4,31.4,"7'0""",280
CJ McCollum,33333333,SG,31,NOP,20.9,2649,35.3,0.437,0.389,0.769,4.4,5.7,0.9,0.5,2.4,2.4,15.6,"6'3""",201
James Harden,33000000,PG,33,PHI,21,2135,36.8,0.441,0.385,0.867,6.1,10.7,1.2,0.5,3.4,3.4,21.6,"6'5""",220
Jamal Murray,31650600,PG,25,DEN,20,2133,32.8,0.454,0.398,0.833,4,6.2,1,0.2,2.2,2.2,18,"6'4""",215
